,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
20,0.0002455711364746094,0.0001531539540071096,0.0,0.0,0.0001,2500,l1,lbfgs,"{'C': 0.0001, 'max_iter': 2500, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,561
21,0.00016578038533528647,4.911435589161388e-05,0.0,0.0,0.0001,2500,l1,newton-cg,"{'C': 0.0001, 'max_iter': 2500, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,561
22,0.0008869965871175131,0.0002962952001054335,0.00037606557210286457,0.00011750760394720251,0.0001,2500,l1,liblinear,"{'C': 0.0001, 'max_iter': 2500, 'penalty': 'l1', 'solver': 'liblinear'}",0.296875,0.2992125984251969,0.2992125984251969,0.29843339895013127,0.0011019544654318027,537
23,0.00012787183125813803,5.742979610805405e-06,0.0,0.0,0.0001,2500,l1,sag,"{'C': 0.0001, 'max_iter': 2500, 'penalty': 'l1', 'solver': 'sag'}",,,,,,561
24,0.001264651616414388,0.0005133221710904374,0.0005733172098795573,0.0003481187947335747,0.0001,2500,l1,saga,"{'C': 0.0001, 'max_iter': 2500, 'penalty': 'l1', 'solver': 'saga'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
25,0.0027703444163004556,0.0010488640810571393,0.0005289713541666666,0.00018189679655354865,0.0001,2500,l2,lbfgs,"{'C': 0.0001, 'max_iter': 2500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
26,0.0030860106150309243,0.000807773366259928,0.0005501906077067057,0.00028431361965001865,0.0001,2500,l2,newton-cg,"{'C': 0.0001, 'max_iter': 2500, 'penalty': 'l2', 'solver': 'newton-cg'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
27,0.0006819566090901693,5.538443008689676e-05,0.0002892812093098958,1.2176217321477359e-05,0.0001,2500,l2,liblinear,"{'C': 0.0001, 'max_iter': 2500, 'penalty': 'l2', 'solver': 'liblinear'}",0.828125,0.8267716535433071,0.8188976377952756,0.8245980971128608,0.004068522580457976,101
28,0.0014595985412597656,0.0003500085975610388,0.00036414464314778644,1.951475448540662e-05,0.0001,2500,l2,sag,"{'C': 0.0001, 'max_iter': 2500, 'penalty': 'l2', 'solver': 'sag'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
29,0.002487023671468099,0.0014193798099254584,0.00038512547810872394,8.379439842627151e-05,0.0001,2500,l2,saga,"{'C': 0.0001, 'max_iter': 2500, 'penalty': 'l2', 'solver': 'saga'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
30,0.0002964337666829427,0.00022612812058620443,0.0,0.0,0.0001,5000,l1,lbfgs,"{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,561
31,0.00044719378153483075,1.550678218238961e-05,0.0,0.0,0.0001,5000,l1,newton-cg,"{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,561
32,0.001033782958984375,0.0006399854601856745,0.000308990478515625,7.27930616155606e-05,0.0001,5000,l1,liblinear,"{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}",0.296875,0.2992125984251969,0.2992125984251969,0.29843339895013127,0.0011019544654318027,537
33,0.00014662742614746094,2.0165758565702915e-05,0.0,0.0,0.0001,5000,l1,sag,"{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'sag'}",,,,,,561
34,0.0012579758961995442,0.0006956009128678595,0.00033513704935709637,6.464217081705586e-05,0.0001,5000,l1,saga,"{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'saga'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
35,0.0016363461812337239,7.170134598522284e-05,0.0002845923105875651,9.774838677420169e-06,0.0001,5000,l2,lbfgs,"{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
36,0.002424955368041992,0.00027109866424694786,0.00035564104715983075,1.3031610484294657e-05,0.0001,5000,l2,newton-cg,"{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'newton-cg'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
37,0.0006844997406005859,6.707236282912708e-05,0.0002799034118652344,2.3346361507738227e-05,0.0001,5000,l2,liblinear,"{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}",0.828125,0.8267716535433071,0.8188976377952756,0.8245980971128608,0.004068522580457976,101
38,0.0011005401611328125,1.765907686914559e-05,0.00028586387634277344,8.357129529548176e-06,0.0001,5000,l2,sag,"{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'sag'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
39,0.001318216323852539,3.721977986569057e-05,0.0002666314442952474,1.871682864439729e-05,0.0001,5000,l2,saga,"{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'saga'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
40,0.0001434485117594401,2.3113352900968993e-05,0.0,0.0,0.00026366508987303583,100,l1,lbfgs,"{'C': 0.00026366508987303583, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,561
