,0
0,0.8272259723561556
1,0.8278795671273974
2,0.8272259723561556
3,0.8278817100610736
4,0.8285353048323154
5,0.8278795671273974
6,0.8278817100610736
7,0.8278795671273974
8,0.8311561127183115
9,0.8298424943747991
10,0.8291931854709096
11,0.8291888996035572
12,0.8232958319939996
13,0.8285353048323154
14,0.8278817100610736
15,0.8285353048323154
16,0.8305025179470695
17,0.8285374477659916
18,0.8278817100610736
19,0.8278795671273974
20,0.8298446373084752
21,0.8311518268509589
22,0.8285353048323154
23,0.8298446373084752
24,0.8272259723561556
25,0.8272259723561556
26,0.8272259723561556
27,0.8272259723561556
28,0.8311561127183115
29,0.8305003750133932
30,0.8285353048323154
31,0.8318118504232295
32,0.8331211828993894
33,0.8324654451944713
34,0.8337769206043074
35,0.8318097074895533
36,0.8226508089574628
37,0.8226336654880532
38,0.8272259723561556
39,0.8278795671273974
40,0.8272259723561556
41,0.8278817100610736
42,0.8272259723561556
43,0.8272259723561556
44,0.8311561127183115
45,0.8298446373084752
46,0.8298467802421514
47,0.8291888996035572
48,0.8213350476802741
49,0.8272259723561556
50,0.8285353048323154
51,0.8278817100610736
52,0.8291931854709096
53,0.8304982320797171
54,0.8285353048323154
55,0.8278817100610736
56,0.8298467802421514
57,0.8318075645558769
58,0.8298489231758277
59,0.8305046608807457
60,0.8278817100610736
61,0.8272259723561556
62,0.8272259723561556
63,0.8272259723561556
64,0.8318054216222007
65,0.8318097074895532
66,0.8278817100610736
67,0.8291931854709096
68,0.839005678774242
69,0.8376963462980822
70,0.8350798242794385
71,0.8350841101467908
72,0.8115418407800279
73,0.8278817100610736
74,0.8265723775849138
75,0.8272259723561556
76,0.8305003750133932
77,0.8278817100610736
78,0.8272259723561556
79,0.8278817100610736
80,0.8376942033644059
81,0.8291931854709096
82,0.8291931854709096
83,0.8291910425372334
84,0.8128083145826638
85,0.8272259723561556
86,0.8278795671273974
87,0.8272259723561556
88,0.8298424943747991
89,0.8278795671273974
90,0.8278817100610736
91,0.8285353048323154
92,0.8318097074895533
93,0.8291910425372336
94,0.8298467802421514
95,0.8285331618986392
96,0.8272259723561556
97,0.8272259723561556
98,0.8272259723561556
99,0.8272259723561556
100,0.833119039965713
101,0.8285374477659916
102,0.8291931854709096
103,0.8298489231758277
104,0.83966141647916
105,0.8363870138219223
106,0.8350798242794385
107,0.8390035358405659
