,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.03131647109985351,0.029913502315487357,0.003959512710571289,0.0007577207655493363,3,sqrt,3,25,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 25}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8295081967213115,0.8262295081967214,0.8235294117647058,0.826797385620915,0.8300653594771242,0.8272259723561556,0.0023711539339551237
1,0.026572561264038085,0.0006853684264859346,0.0052640438079833984,0.0006017720831448101,3,sqrt,3,50,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 50}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8295081967213115,0.8262295081967214,0.8235294117647058,0.826797385620915,0.8333333333333334,0.8278795671273974,0.0033230607322290214
2,0.05230512619018555,0.00503404957179847,0.008083772659301759,0.00012888454121591029,3,sqrt,3,100,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 100}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8295081967213115,0.8262295081967214,0.8235294117647058,0.826797385620915,0.8300653594771242,0.8272259723561556,0.0023711539339551237
3,0.07383847236633301,0.0025861987796353906,0.010761022567749023,0.0003220803635798686,3,sqrt,3,150,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 150}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8327868852459016,0.8262295081967214,0.8235294117647058,0.826797385620915,0.8300653594771242,0.8278817100610736,0.003214874781969921
4,0.016832923889160155,0.000493855840997232,0.0038444995880126953,0.00031544596287342994,3,sqrt,6,25,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 25}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8327868852459016,0.8262295081967214,0.8235294117647058,0.826797385620915,0.8333333333333334,0.8285353048323154,0.003859871506259852
5,0.02720012664794922,0.0008745978329549082,0.005212831497192383,0.0002265398789240672,3,sqrt,6,50,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 50}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8295081967213115,0.8262295081967214,0.8235294117647058,0.826797385620915,0.8333333333333334,0.8278795671273974,0.0033230607322290214
6,0.05011229515075684,0.0013533246713539214,0.008093500137329101,0.0003052057534639116,3,sqrt,6,100,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 100}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8327868852459016,0.8262295081967214,0.8235294117647058,0.826797385620915,0.8300653594771242,0.8278817100610736,0.003214874781969921
7,0.07589616775512695,0.0024282781486249013,0.011473369598388673,0.0008395369262602871,3,sqrt,6,150,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 150}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8295081967213115,0.8262295081967214,0.8235294117647058,0.826797385620915,0.8333333333333334,0.8278795671273974,0.0033230607322290214
8,0.01772937774658203,0.0021071590948286644,0.003784847259521484,0.00016548622411909078,3,sqrt,9,25,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 25}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8327868852459016,0.8360655737704918,0.826797385620915,0.8300653594771242,0.8300653594771242,0.8311561127183115,0.0031029087655140004
9,0.026462841033935546,0.0010319817408243766,0.0051997661590576175,0.00029367396016506377,3,sqrt,9,50,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 50}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8327868852459016,0.8262295081967214,0.826797385620915,0.8300653594771242,0.8333333333333334,0.8298424943747991,0.0029404564113772974
10,0.05356283187866211,0.005217072960445359,0.008150482177734375,0.00012781918656870755,3,sqrt,9,100,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 100}",0.8181818181818182,0.8311688311688312,0.8421052631578947,0.8289473684210527,0.8157894736842105,0.8272385509227614,0.009513065439620933,2,0.8327868852459016,0.8327868852459016,0.8235294117647058,0.826797385620915,0.8300653594771242,0.8291931854709096,0.003589101089659944
