,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0018349647521972655,0.0005777540633821668,0.00047693252563476565,3.9097041452298444e-05,sqrt,1,2,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7792207792207793,0.7142857142857143,0.7368421052631579,0.7105263157894737,0.7105263157894737,0.7302802460697198,0.02636093454795436,333
1,0.001026153564453125,0.00031289609599535534,0.0003627300262451172,9.886295976048246e-06,sqrt,1,3,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3}",0.7012987012987013,0.7792207792207793,0.631578947368421,0.7236842105263158,0.7236842105263158,0.7118933697881067,0.047694195371240845,416
2,0.0012464046478271485,0.000554634025549903,0.0006213188171386719,0.00034485260863037747,sqrt,1,4,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4}",0.7402597402597403,0.7142857142857143,0.6842105263157895,0.6973684210526315,0.7631578947368421,0.7198564593301435,0.028631052329096227,381
3,0.0007068634033203125,0.0001759760022195818,0.00031833648681640626,4.534653684189097e-05,sqrt,1,5,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7012987012987013,0.6493506493506493,0.6973684210526315,0.7763157894736842,0.5921052631578947,0.6832877648667122,0.06106201519682708,466
4,0.0010192394256591797,0.00040111345049402563,0.00046405792236328127,0.00027374774810946106,sqrt,1,6,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6}",0.7272727272727273,0.7272727272727273,0.7894736842105263,0.75,0.631578947368421,0.7251196172248804,0.051999246278346914,360
5,0.001289033889770508,0.0006627017670136967,0.0005815029144287109,0.00030292793268287135,sqrt,1,7,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 7}",0.6493506493506493,0.6883116883116883,0.7105263157894737,0.7368421052631579,0.6842105263157895,0.6938482570061517,0.02908678450966314,454
6,0.0007396221160888671,0.00017811169378887762,0.00031299591064453124,4.2194673223081296e-05,sqrt,1,8,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8}",0.6753246753246753,0.7272727272727273,0.7236842105263158,0.7236842105263158,0.7236842105263158,0.7147300068352701,0.01975162412893831,404
7,0.0006076335906982422,7.161494076275675e-05,0.0003200054168701172,6.651466452584977e-05,sqrt,1,9,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 9}",0.7272727272727273,0.7532467532467533,0.75,0.8289473684210527,0.7763157894736842,0.7671565276828434,0.03458481134208181,87
8,0.0006767749786376953,0.00022750043238919834,0.00029454231262207033,3.553176009317682e-05,sqrt,1,10,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6883116883116883,0.7142857142857143,0.8026315789473685,0.75,0.6578947368421053,0.7226247436773753,0.05017449015838031,364
9,0.0005958080291748047,8.060677940988179e-05,0.00028777122497558594,2.11975436645597e-05,sqrt,1,11,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 11}",0.7792207792207793,0.7402597402597403,0.7763157894736842,0.7368421052631579,0.5789473684210527,0.7223171565276829,0.07381284606912995,371
10,0.000534820556640625,6.406132862854444e-05,0.0002605438232421875,1.2446637297940827e-05,sqrt,1,12,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 12}",0.6623376623376623,0.7662337662337663,0.6842105263157895,0.7894736842105263,0.7631578947368421,0.7330827067669173,0.050153371463125686,315
11,0.0005020618438720704,7.163617801244416e-05,0.00026106834411621094,2.451193459029174e-05,sqrt,1,13,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 13}",0.7272727272727273,0.8181818181818182,0.6842105263157895,0.8157894736842105,0.75,0.759090909090909,0.05178527939674235,141
12,0.0005922794342041015,8.749492798999848e-05,0.00028591156005859376,3.486830760030552e-05,sqrt,1,14,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 14}",0.7662337662337663,0.7402597402597403,0.75,0.6578947368421053,0.7763157894736842,0.7381408065618592,0.042026433962287085,287
13,0.0006312370300292969,0.0001040538658893271,0.00043377876281738283,0.0002518387632009596,sqrt,1,15,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 15}",0.6883116883116883,0.7922077922077922,0.6710526315789473,0.8157894736842105,0.7368421052631579,0.7408407382091593,0.05639424999307172,266
14,0.00048117637634277345,3.915858047438173e-05,0.0002673625946044922,1.4897326929792508e-05,sqrt,1,16,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 16}",0.7662337662337663,0.7532467532467533,0.7763157894736842,0.7894736842105263,0.631578947368421,0.7433697881066303,0.05714633190532842,254
15,0.0007894039154052734,0.0005187682141008775,0.0003111839294433594,9.476044129815624e-05,sqrt,1,17,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 17}",0.7402597402597403,0.7922077922077922,0.8157894736842105,0.8289473684210527,0.7631578947368421,0.7880724538619275,0.03275021737235202,23
16,0.0005515098571777343,9.901812638974052e-05,0.00027532577514648436,2.4272557042635133e-05,sqrt,1,18,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 18}",0.6753246753246753,0.8181818181818182,0.7763157894736842,0.8289473684210527,0.7631578947368421,0.7723855092276144,0.05443885979552494,56
