,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.002234363555908203,2.714774275395055e-05,0.0007161140441894531,8.070530531970512e-06,0.001,linear,"{'C': 0.001, 'kernel': 'linear'}",0.686046511627907,0.686046511627907,0.686046511627907,0.686046511627907,0.6941176470588235,0.6876607387140903,0.0032284541723666127,14
1,0.003244352340698242,0.0010539308905980957,0.0007754802703857422,2.860490431500412e-05,0.001,poly,"{'C': 0.001, 'kernel': 'poly'}",0.686046511627907,0.686046511627907,0.686046511627907,0.686046511627907,0.6941176470588235,0.6876607387140903,0.0032284541723666127,14
2,0.007134819030761718,0.00325240554829825,0.0028909683227539063,0.0015637283042109526,0.001,rbf,"{'C': 0.001, 'kernel': 'rbf'}",0.686046511627907,0.686046511627907,0.686046511627907,0.686046511627907,0.6941176470588235,0.6876607387140903,0.0032284541723666127,14
3,0.004105710983276367,0.0011540832674244523,0.0012929916381835937,0.0007050993235025285,0.001,sigmoid,"{'C': 0.001, 'kernel': 'sigmoid'}",0.686046511627907,0.686046511627907,0.686046511627907,0.686046511627907,0.6941176470588235,0.6876607387140903,0.0032284541723666127,14
4,0.0028326034545898436,0.0015896423506974856,0.000942850112915039,0.0005814020269540627,0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.7790697674418605,0.7325581395348837,0.8372093023255814,0.8255813953488372,0.8588235294117647,0.8066484268125855,0.04530920185244773,1
5,0.0027838706970214843,0.00014286669919756872,0.0007571220397949219,1.3947466499770186e-05,0.01,poly,"{'C': 0.01, 'kernel': 'poly'}",0.686046511627907,0.686046511627907,0.686046511627907,0.686046511627907,0.6941176470588235,0.6876607387140903,0.0032284541723666127,14
6,0.004556989669799805,0.0012314520969941827,0.0029381275177001952,0.0013156500140980494,0.01,rbf,"{'C': 0.01, 'kernel': 'rbf'}",0.686046511627907,0.686046511627907,0.686046511627907,0.686046511627907,0.6941176470588235,0.6876607387140903,0.0032284541723666127,14
7,0.0054438114166259766,0.0023878843135270752,0.001010560989379883,3.527937647449618e-05,0.01,sigmoid,"{'C': 0.01, 'kernel': 'sigmoid'}",0.686046511627907,0.686046511627907,0.686046511627907,0.686046511627907,0.6941176470588235,0.6876607387140903,0.0032284541723666127,14
8,0.0031118392944335938,0.0025194341881824268,0.0008428096771240234,0.0005349896803994308,0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",0.7790697674418605,0.7325581395348837,0.8372093023255814,0.8255813953488372,0.8588235294117647,0.8066484268125855,0.04530920185244773,1
9,0.004027032852172851,0.0015931708443244444,0.0007814884185791016,5.59717054171704e-05,0.1,poly,"{'C': 0.1, 'kernel': 'poly'}",0.7325581395348837,0.6976744186046512,0.7558139534883721,0.7674418604651163,0.788235294117647,0.748344733242134,0.031075532795303437,11
10,0.004217386245727539,0.0014020418158270107,0.003295230865478516,0.0016445353062653934,0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",0.7325581395348837,0.6976744186046512,0.7209302325581395,0.7558139534883721,0.7647058823529411,0.7343365253077975,0.024127076813185957,12
11,0.005976295471191407,0.001718573429209079,0.0018140316009521485,0.0010466739592430029,0.1,sigmoid,"{'C': 0.1, 'kernel': 'sigmoid'}",0.7790697674418605,0.7325581395348837,0.8372093023255814,0.8255813953488372,0.8470588235294118,0.8042954856361149,0.042773113127772266,5
12,0.008820676803588867,0.002360054497360568,0.0019030094146728516,0.0006277015852865942,1.0,linear,"{'C': 1.0, 'kernel': 'linear'}",0.7790697674418605,0.7325581395348837,0.8372093023255814,0.8255813953488372,0.8588235294117647,0.8066484268125855,0.04530920185244773,1
13,0.004131984710693359,0.002612754280905416,0.0007499217987060547,0.0001344246658967406,1.0,poly,"{'C': 1.0, 'kernel': 'poly'}",0.7674418604651163,0.7325581395348837,0.8255813953488372,0.8023255813953488,0.8,0.7855813953488372,0.03233812706189526,8
14,0.004808664321899414,0.0027773613212021923,0.0019168376922607422,8.998378333487977e-05,1.0,rbf,"{'C': 1.0, 'kernel': 'rbf'}",0.7906976744186046,0.7209302325581395,0.8255813953488372,0.8488372093023255,0.8235294117647058,0.8019151846785226,0.04452715068628059,6
15,0.006186246871948242,0.0038919560758966824,0.0017339229583740235,0.0012662296361088832,1.0,sigmoid,"{'C': 1.0, 'kernel': 'sigmoid'}",0.7790697674418605,0.7325581395348837,0.813953488372093,0.8023255813953488,0.8235294117647058,0.7902872777017784,0.032460855473298196,7
16,0.007550954818725586,0.0038386856637550788,0.0010050296783447265,0.0005552967935233603,10.0,linear,"{'C': 10.0, 'kernel': 'linear'}",0.7790697674418605,0.7325581395348837,0.8372093023255814,0.8255813953488372,0.8588235294117647,0.8066484268125855,0.04530920185244773,1
17,0.004124832153320312,0.0011241302499554807,0.0009297847747802735,0.0005111181754773671,10.0,poly,"{'C': 10.0, 'kernel': 'poly'}",0.7790697674418605,0.6976744186046512,0.813953488372093,0.813953488372093,0.8,0.7809302325581395,0.04354243623616167,9
18,0.00502924919128418,0.0016074778682340564,0.001886606216430664,9.291756584391134e-05,10.0,rbf,"{'C': 10.0, 'kernel': 'rbf'}",0.7906976744186046,0.6976744186046512,0.8023255813953488,0.7674418604651163,0.8117647058823529,0.7739808481532148,0.04092902549117367,10
